School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Arizona Lutheran Academy,Phoenix,85041,192,Yes,Yes,Yes,Yes,Top 20%,Christian boarding school,Yes,28,28,3002,25,12:01,NA,NA,57,6,10,15,12,0,NA,NA,NA,
Arizona Preparatory Academy,Phoenix,85037,123,Yes,Yes,Yes,Yes,NA,College Preparatory Curriculum,Yes,17,22,19568,310,150:01:00,NA,1,12,11,1,71,1,2,36.60%,36.60%,26.8,
Arizona School For The Arts,Phoenix,85004,832,Yes,Yes,Yes,No,NA,outcome based,yes,27,30,481,145,13:01,NA,NA,63,4,1,22,5,5,NA,NA,NA,
Arizona Virtual Academy,Phoenix,85004,7647,Yes,Yes,Yes,Yes,NA,outcome based,Yes,19,32,"3,635",980,NA,NA,NA,69,6,2,15,1,6,8,3,NA,
Asdb/phoenix Day school,Phoenix,85021,242,No,Yes,yes,Yes,NA,Communication,Yes,5,5,NA,1834,NA,Na,NA,16,7,6,67,2,2,44,5,51,
E-institute At Metro,"Phoenix, AZ",85051,58,Yes,N/A,N/A,N/A,N/A,N/A,N/A,8%,< 2%,20045,398,"26,1",N/A,N/A,6.89%,24.13%,6.89%,60.34%,0%,1.72%,N/A,N/A,N/A,
E-institute At Union Hills,"Phoenix, AZ",85308,78,yes,N/A,N/A,N/A,N/A,N/A,N/A,55%,N/A,813,178,"32,1",N/A,N/A,46.20%,9.00%,2.50%,37.17%,0%,5.12%,N/A,36%,N/A,
Hamilton High School,"Chandler, AZ",85248,3926,yes,N/A,N/A,N/A,N/A,N/A,N/A,52%,68.96,1548,24,21:03,N/A,N/A,44.40%,7.30%,2.10%,21.50%,19%,5.70%,8%,N/A,N/A,
Intelli-school,"Chandler, AZ",85225,70,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26,1",N/A,N/A,31.40%,7.10%,5.70%,51.40%,0%,4.30%,N/A,74%,N/A,
Kaizen Education Foundation Dba El Dorado High School,"Chandler, AZ",85224,166,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19037,354,"25,1",N/A,N/A,0%,16.87%,0%,46.99%,30.72%,0%,54%,N/A,N/A,
Mesquite High School,"Gilbert, AZ",85233,2045,Yes,Yes,Yes,Yes,10th,Varied,Yes,80,75,1841,58,15:01,No,Minor,60,20,10,10,5,5,20,15,65,
Mesquite Jr High School,"Gilbert, AZ",85233,1200,Yes,Yes,Yes,Yes,15th,Varied,Yes,85,70,NA,NA,12:01,No,Minor,65,20,5,10,5,5,20,15,60,
Perry High School,"Gilbert, AZ",85297,2045,Yes,Yes,Yes,Yes,10th,Varied,Yes,80,75,131,5,15:01,No,Minor,60,20,10,10,5,5,20,15,65,
San Tan Charter School,"Gilbert, AZ",85296,500,Yes,Yes,Yes,Yes,1st,Varied,Yes,90,85,8972,174,10:01,No,None,80,10,5,5,5,0,5,5,90,
South Valley Junior High School,"Gilbert, AZ",85295,1000,Yes,Yes,Yes,Yes,12th,Varied,Yes,80,75,NA,NA,15:01,No,Minor,70,20,5,10,5,5,20,15,60,
West-mec - Horizon High School,"Scottsdale, AZ",85254,15,yes,no,yes,yes,na,CTE,yes,60-64%,65-69%,na,na,17:01,na,na,87%,0,0,13%,0,0,39%,0,61%,
Arizona Charter Academy,"Surprise, AZ",85374,na,no,yes,yes,yes,268,traditional,yes,27%,28%,na,959,na,na,na,19%,10%,na,66%,1%,4%,27%,11%,62%,
Dysart Ischool,"Surprise, AZ",85374,181,yes,yes,yes,yes,na,Online,yes,28%,42%,na,top 50%,11:01,na,na,35%,6%,5%,47%,3%,4%,29%,2%,69%,
E-institute At Surprise,"Surprise, AZ",85388,149,yes,no,yes,yes,228,Na,na,32%,39%,17635,325,1:01,na,na,43%,6%,1%,40%,3%,na,38%,17%,45%,
Imagine Prep Surprise,"Surprise, AZ",85379,304,yes,yes,yes,yes,na,"Combination of traditional, project based and online research.l",Yyes,15-19%,25-29%,na,1125,na,na,na,54%,4%,1%,32%,2%,7%,10%,4%,86%,
Camelback High School,"Phoenix, AZ",85016,2152,yes,yes,yes,yes,10,traditional,yes,80%,75%,1199,42,18.5:1,There have been 2 suicides at Camelback High School in the past 5 years. The school has a suicide prevention program in place,"There have been 10 reported crimes at Camelback High School in the past year. These crimes include theft, vandalism, and assault.",8%,7%,1%,77%,1%,6%,82%,6%,12%,
Career Success High School - Glendale,"Phoenix, AZ",85017,53,yes,yes,yes,no,N/A,career and technical education (CTE),yes,75%,70%,22481,469,#VALUE!,No Sucide,"There have been 5 reported crimes at Career Success High School in the past year. These crimes include theft, vandalism, and assault.",8%,11%,0%,77%,0%,4%,51%,0%,49%,
Career Success High School - Main Campus,"Phoenix, AZ",85017,185,yes,yes,yes,no,N/A,career and technical education (CTE),yes,75%,70%,17688,327,#VALUE!,No Sucide,"There have been 5 reported crimes at Career Success High School in the past year. These crimes include theft, vandalism, and assault.",5%,10%,0%,83%,0%,2%,62%,14%,24%,
Career Success Jr/Sr High School - North Phoenix,"Phoenix, AZ",85022,119,yes,yes,yes,yes,N/A,None,yes,75%,70%,19723,383,#VALUE!,No Sucide,"There have been 5 reported crimes at Career Success High School in the past year. These crimes include theft, vandalism, and assault.",35%,5%,1%,50%,0%,4%,24%,3%,74%,
Carl Hayden High School,"Phoenix, AZ",85009,2108,yes,yes,yes,yes,20,None,yes,78%,75%,1299,44,18:01,2 sucides,"There have been 10 reported crimes at Carl Hayden High School in the past year. These crimes include theft, vandalism, and assault.",1%,3%,0%,95%,0%,1%,85%,6%,9%,
Sunrise Mountain High School,Peoria,85382,2025,yes,yes,yes,yes,98,Traditional,No,42%,41%,"6,080",98,22:01,No,three cases were reported,70.90%,3.00%,0.20%,18.20%,2.90%,7%,8%,0%,92%,
West-mec - Centennial High School,Peoria,85381,"2,052",yes,yes,yes,no,NA,career and technical education (CTE),no,67%,54%,Unranked,535,23:01,No,NA,47.80%,5.70%,1%,36.70%,3.10%,6%,0%,0%,100%,
West-mec - Liberty High School,Peoria,85383,"2,472",NA,yes,yes,yes,560,career and technical education (CTE),No,36%,37%,"5,817",93,22:01,No,No,72%,3%,0%,16%,4%,5%,3%,3%,94%,
West-mec - Peoria High School,Peoria,85345,"1,582",NA,yes,yes,no,unranked,career and technical education (CTE),no,18%,22%,25708,602,22:01,No,No,26%,9%,2%,55%,3%,7%,24%,9%,77%,
West-mec - Sunrise Mountain High School,Peoria,85382,"2,025",NA,yes,NA,yes,NA,Traditional,NA,43%,41%,"6,080",98,22:01,no,NA,71%,3%,1%,18%,3%,4%,8%,3%,89%,
Sossaman Middle School,Queen Creek,85142,1096,Yes,Yes,Yes,Yes,194,student-centered approach,Yes,68%,60%,NA,48,20:01,NA,NA,66.10%,3.10%,0.80%,20.90%,3.10%,6%,4.55%,4.55%,90.90%,
Willie & Coy Payne Junior High School,Queen Creek,85142,1220,No,Yes,Yes,Yes,422,Traditional ,Yes,56%,78%,NA,422,21:01,NA,NA,68%,3%,1%,19%,4%,5%,5.75%,5.75%,88.50%,
Bella Vista College Prepratory School,Scottsdale,85266,89,Yes,Yes,Yes,Yes,134,classical education mode,Yes,79%,79%,6101,61,7:01,NA,NA,37.10%,12.40%,0%,5.60%,4.50%,40.40%,NA,NA,NA,
Arizona International Academy,Scottsdale,85254,10,No,NA,Yes,Yes,NA,active learning,Yes,NA,NA,7259,71,6:01,NA,NA,25%,10%,0%,31.30%,31.30%,2.40%,NA,NA,NA,
Basis Scottsdale,Scottsdale,85259,1057,Yes,Yes,Yes,Yes,20,rigorous academic curriculum,Yes,93%,96%,20,2,7:01,NA,NA,23.90%,1.80%,0.10%,6%,62.50%,5.70%,2%,5%,93%,
Desert Edge High School,"Goodyear,AZ",85338,1786,Yes,Yes,Yes,Yes,N/A,Project Based Learning ,Yes,64%,66.34%,5950,96,22:01,No Suicide,"Drugs, Murder",7%,13%,13.50%,57.20%,2.70%,7,27%,16%,57%,
Estrella foothills High School,"Goodyear,AZ",85338,1225,YES,NO,Yes,Yes,N/A,Traditional,Yes,54%,70.69%,5547,90,25:01:00,3,N/A,45.60%,4.50%,1%,43.10%,1.30%,4.60%,12.10%,12.10%,43.70%,
Great Hearts Academies- Archway Trivium West,"Goodyear,AZ",85395,1084,NO,Yes,No,Yes,NA,Distance Learning,Yes,74%,86.36%,1854,90,28:01:00,NA,NA,13.50%,7%,13%,57,3%,0,0,0,100%,
Great Hearts Academies- Trivium Prep,"Goodyear,AZ",90859,25000,Yes,YES,YES,YEs,NA,Distance Learning,YES,49%,82.79,5905,95,1:20,NA,NA,41.7,6.1,6.4,33.5,9.3,8.2,NA,NA,NA,
Millenium High School,"Goodyear,AZ",85395,2202,YES,Yes,no,Yes,1606,Traditional,Yes,50%,41.67,3148,50,21:01,Yes,Gang crimes,40.6,9.7,1.5,37.4,7.5,0,8%,4%,89%,
Highland High School,"Gilbert, AZ",85234,"3,108",YES,YES,YES,YES,10,Carrer and Techincal Education,YES,78%,69%,221,11,23:01,N/A,N/A,76%,3%,1%,14%,5%,1%,0%,0%,100%,
Higley High School,"Gilbert, AZ",85295,1670,YES,YES,YES,YES,12,Direct Instruction Technique,YES,71%,64%,2426,35,24.1:1,N/A,N/A,68.10%,3.40%,0.60%,18.90%,3.60%,0.60%,6%,3%,91%,
Leading Edge Academy Gilbert Early College,"Gilbert, AZ",85233,77,YES,YES,YES,YES,N/A,Traditional,YES,72%,62%,9286,62,#VALUE!,N/A,N/A,65%,3%,2%,25%,2%,1%,19%,13%,68%,
Leading Edge Online Academy,"Gilbert, AZ",85296,77,YES,YES,YES,YES,N/A,Online Academy,YES,15%,45%,"13,338",250,#VALUE!,N/A,N/A,66%,4%,3%,25%,0%,0%,14%,6%,79%,
Learning Foundation And Performing Arts Gilbert,"Gilbert, AZ",85296,416,YES,YES,YES,YES,N/A,Traditional,YES,27%,43%,13261,447,#VALUE!,N/A,N/A,57%,7%,0%,22%,3%,1%,28%,5%,67%,
Oasis Recovery,"Chandler, AZ",85225,35,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"6,014",60,35:01:00,N/A,N/A,57%,26%,0%,11%,3%,0%,N/A,N/A,N/A,
Paragon Science Academy,"Chandler, AZ",85226,448,Yes,Yes,Yes,Yes,N/A,Traditional,N/A,85%,38%,"11,638",210,#VALUE!,N/A,N/A,37%,19%,1%,12%,29%,1%,31%,3%,66%,
Primavera - Online,"Chandler, AZ",85225,"3,299",Yes,Yes,No,No,N/A,Virtual,N/A,14%,31%,153,7,#VALUE!,N/A,N/A,49%,5%,4%,37%,1%,1%,16%,27%,57%,
Santam Junior High School,"Chandler, AZ",85249,"1,354",No,No,Yes,No,N/A,Traditional,N/A,44%,53%,Unranked,Unknown,21.6:1,N/A,N/A,70%,6%,1%,12%,9%,2%,11%,2%,87%,
Seton Catholic Preparatory High School,"Chandler, AZ",85224,595,Yes,Yes,Yes,Yes,N/A,Traditional,N/A,N/A,N/A,881,9,15:01,N/A,N/A,72%,1%,1%,16%,3%,1%,"N/A	",N/A        ,N/A        ,
Greenfield Junior High School,"Gilbert, AZ",85296,836,YES,YES,YES,YES,N/A,Traditional,YES,61%,51%,Unranked,Unranked,19:01,N/A(Requires Acess),N/A,75%,2%,0%,18%,4%,1%,"N/A	","N/A	",N/A        ,
Highland High School,"Gilbert, AZ",85234,"3,108",YES,YES,YES,YES,10,Carrer and Techincal Education,YES,78%,69%,221,11,23:01,N/A,N/A,76%,3%,1%,14%,5%,1%,0%,0%,100%,
Great Hearts Academies - Archway Chandler,"Chandler, AZ",85224,519,NO,YES,NO,YES,N/A,Socratic Method,YES,87%,78%,Unranked,Unknown,#VALUE!,N/A,N/A,56%,5%,0%,13%,17%,8%,N/A,"N/A	","N/A	",
Great Hearts Academies - Chandler Prep,"Chandler, AZ",85225,711,NO,YES,NO,YES,N/A,Traditional,YES,73%,72%,"8,171",163, -1:1,N/A,N/A,63%,4%,0%,12%,15%,5%,N/A        ,"N/A	","N/A	",
Great Hearts Academies - Lincoln Prep,"Chandler, AZ",85286,166,YES,YES,NO,YES,N/A,Classical liberal Cirriculam,yes,54%,55%,Unranked,Unknown,#VALUE!,N/A,N/A,54%,4%,1%,13%,19%,10%,N/A        ,N/A        ,N/A        ,
Kaizen Education Foundation Dba Quest High School,"Phoenix, AZ",85042,49,,yes,yes,yes,N/A,Traditional,N/A,7%,10%,22682,477,#VALUE!,N/A,N/A,4%,14%,2%,80%,0%,0%,71%,6%,22%,
Kaizen Education Foundation Dba Summit High School,"Phoenix, AZ",85006,358,,yes,yes,yes,N/A,Traditional,yes,7%,10%,13466,243,#VALUE!,N/A,N/A,6%,10%,3%,79%,1%,1%,0%,99%,1%,
Keystone Montessori Charter School,"Phoenix, AZ",85048,235,,yes,yes,yes,N/A,Traditional,yes,59%,81%,16303,286,#VALUE!,N/A,N/A,62%,3%,0%,22%,7%,15%,N/A,N/A,N/A,
Learning Institute the,"Phoenix, AZ",85014,130,,yes,yes,yes,N/A,Traditional/Virtual,N/A,20%,42%,19327,368,#VALUE!,N/A,N/A,24%,5%,5%,64%,0%,2%,28%,0%,72%,
Life Skills Center of Arizona,"Phoenix, AZ",85051,183,,yes,yes,yes,N/A,Traditional/Virtual,yes,5%,2%,17743,328,#VALUE!,N/A,N/A,18%,15%,3%,61%,1%,2%,64%,10%,25%,
E-Institute at Avondale,"Avondale, AZ",85323,80,N/A,yes,yes,yes,N/A,Traditional,N/A,20%,30%,21288,434,#VALUE!,N/A,N/A,4%,11%,0%,78%,3%,5%,53%,8%,40%,
Estrella High School,"Avondale, AZ",85323,258,yes,yes,yes,yes,N/A,Traditional,N/A,30%,30%,15742,273,#VALUE!,N/A,N/A,10.50%,17.90%,0%,67.90%,0%,3.70%,61%,5%,34%,
La Joya Community High School,"Avondale, AZ",85353,2226,yes,yes,yes,yes,N/A,Traditional/Virtual,yes,19%,19%,1042,37,27.5:1,N/A,N/A,8%,13%,0%,74%,1%,4%,53%,10%,37%,
West-Mec - Agua Fria High School,"Avondale, AZ",85323,3,N/A,yes,yes,yes,N/A,Traditional,N/A,N/A,N/A,25708,602,#VALUE!,N/A,N/A,33%,0%,0%,67%,0%,0%,0%,0%,100%,
West-Mec - La Joya High School,"Avondale, AZ",85353,5,N/A,yes,yes,yes,N/A,Traditonal,N/A,30%,22%,25512,584,#VALUE!,N/A,N/A,0%,40%,0%,60%,0%,0%,0%,0%,100%,
Chandler High School,"Chandler, AZ",85225,3184,yes,yes,yes,yes,8th,Traditional,yes,25%,32%,185,8,20.8:1,N/A,N/A,34%,10%,2%,46%,6%,2%,43%,5%,52%,
Chandler Online Academy,"Chandler, AZ",85225,179,yes,yes,no,no,N/A,Virtual,no,48%,63%,17850,329,89.5:1,N/A,N/A,78%,2%,0%,15%,4%,1%,6%,2%,93%,
Gilbert High School,"Gilbert, AZ",85234,2434,yes,yes,no,yes,99th,Traditional,N/A,35%,34%,739,30,21.4:1,N/A,N/A,66%,3%,1%,24%,3%,2%,0%,0%,99%,
Gilbert Junior High School ,"Gilbert, AZ",85234,508,N/A,N/A,N/A,N/a,N/A,N/A,N/A,N/A,N/A,Unranked,130,17.6:1,N/A,N/A,53%,8%,1%,35%,3%,1%,1%,0%,99%,
Great Hearts Academies - Arete Prep,"Gilbert, AZ",85224,523,yes,yes,yes,yes,N/A,Traditional,yes,75%,65%,10443,194,#VALUE!,N/A,N/A,71%,4%,1%,17%,4%,3%,N/A,N/A,N/A,
Intelli-School - Metro Center,"Phoenix, AZ",85234,111,yes,yes,yes,yes,N/A,Traditional,N/A,42%,25%,20045,398,#VALUE!,N/A,N/A,25%,6%,9%,59%,0%,1%,61%,9%,30%,
Intelli-School - Paradise Valley,"Phoenix, AZ",85022,87,yes,yes,yes,yes,N/A,Traditional,N/A,N/A,N/A,21008,424,#VALUE!,N/A,N/A,37%,6%,2%,52%,0%,3%,52%,5%,44%,
International Commerce High School - Phoenix,"Phoenix, AZ",85014,541,yes,yes,yes,yes,N/A,Traditional,N/A,N/A,N/A,10141,186,#VALUE!,N/A,N/A,9%,8%,0%,80%,0%,3%,1%,0%,99%,
Jail-Maricopa County Sheriffs Office,"Phoenix, AZ",85003,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kaizen Education Foundation Dba Maya High School,"Phoenix, AZ",85051,378,yes,yes,yes,yes,N/A,Traditional,yes,10%,10%,13045,236,#VALUE!,N/A,N/A,13%,14%,3%,66%,3%,1%,1%,99%,1%,
Great Hearts Academies - North Phoenix Prep,"Phoenix, AZ",85022,352,yes,yes,yes,yes,N/A,Traditional,N/A,53%,72%,"13,582",245,#VALUE!,N/A,N/A,71%,2%,2%,15%,7%,3%,0%,0%,100%,
Great Hearts Academies - Teleos Prep,"Phoenix, AZ",85034,216,yes,N/A,yes,yes,N/A,Traditional,N/A,38%,32%,Unranked,Unranked,#VALUE!,N/A,N/A,6%,44%,1%,42%,1%,5%,55%,14%,31%,
Great Hearts Academies - Veritas Prep,"Phoenix, AZ",85018,709,yes,yes,yes,yes,N/A,Traditional,N/A,60%,65%,"8,185",164,#VALUE!,N/A,N/A,76%,1%,0%,16%,3%,3%,0%,0%,100%,
Greenway High School,"Phoenix, AZ",85053,1429,yes,yes,yes,yes,N/A,Traditional,N/A,N/A,N/A,"3,646",108,21:01,N/A,N/A,59%,5%,2%,29%,4%,1%,34%,8%,57%,
Greenway Middle School,"Phoenix, AZ",85032,499,yes,N/A,N/A,yes,N/A,Traditional,N/A,12%,17%,Unranked,Unknown,19.4:1,N/A,N/A,10%,4%,2%,82%,2%,2%,73%,6%,22%,
Crown Point High School,Phoenix,85033,2964,yes,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"20,798",419,#SPILL!,N/A,N/A,10.00%,3%,0.20%,14.10%,3%,72.70%,21.92%,0%,78.08%,
Cyber High SChool,Phoenix,85020,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"22,481",469,#SPILL!,N/A,N/A,17%,15%,0%,62%,2%,4%,6%,0%,94%,
Deer Valley Middle School,Phoenix,85027,1568,yes,N/A,N/A,N/A,N/A,N/A,N/A,39%,N/A,6336,109,10:01,N/A,N/A,55.20%,5.90%,1.20%,30.50%,2.60%,4.60%,17%,0%,83%,
Desert Foothills Middle School,Phoenix,85053,657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.09%,N/A,851,15.50%,N/A,N/A,40.80%,7.60%,2%,42.60%,2.40%,4.60%,57.80%,0%,42.20%,
Desert Garden Montessori,Phoenix,85044,268,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5:01,N/A,N/A,64%,2%,2%,6%,2%,24%,N/A,0%,N/A,
91st psalm Christian School,"Phoenix, AZ",85042,168,Yes,Yes,No,Yes,N/A,Traditional,No,N/A,N/A,3.324,8,10:01,Yes,N/A,29.2,18.2,3.9,45,3.2,1.5,N/A,N/A,N/A,
Aace Paradise Valley,"Phoenix, AZ",85032,322,Yes,No,No,Yes,N/A,N/A,No,42%,52%,"8,600",151,N/A,N/A,N/A,71.4,2.2,0.3,19.3,2.5,4.3,N/A,N/A,N/A,
Aace Smcc Campus,"Phoenix, AZ",85042,499,No,No,No,Yes,N/A,Traditional,N/A,28%,13%,"11,894",294,N/A,N/A,N/A,6.2,5,1,85.6,1,1.2,18.4,61.3,N/A,
Accel,"Phoenix, AZ",85051,175,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,"2,938",24,8:01,N/A,N/A,28.6,12,1.6,30.7,0.5,26.6,N/A,N/A,N/A,
Accelerated Learning Center,"Phoenix, AZ",85028,151,Yes,No,No,No,N/A,N/A,N/A,30%,30%,N/A,,#VALUE!,N/A,N/A,74,1,0.7,19.2,N/A,5.3,1,1,N/A,
West-Mec - West View High School,Avondale,85353,10,no,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,#VALUE!,NA,NA,20,20,10,40,0,10,0,0,0,
Westview High School,Avondale,85353,2423,yes,NA,NA,yes,NA,traditional,NA,21,22,9468,165,21:01,NA,no crime data,20,10,1,64,3,2,41,8,51,
Buckeye Union High School,Buckeye,85326,1402,Yes,yes,NA,yes,NA,traditional,Yes,22,21,10815,191,22:01,NA,low crime,32,8,1,58,0.5,0.5,17,3,80,
West-Mec - Desert Edge High School,"Goodyear,AZ",85338,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"25,823",609,#VALUE!,N/A,N/A,50,0,N/A,50,0,0,N/A,N/A,N/A,
West-mec-Estrella East Hills High School,"Goodyear,AZ",85338,16,N/A,N/A,N/A,yes,N/A,N/A,no,N/A,N/A,"24,575",533,#VALUE!,N/A,N/A,81,0,N/A,13,0,1,N/A,N/A,N/A,
West-mec-Millenium High School,"Goodyear,AZ",85338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Williams Field High School,"Higley,AZ",85236,1859,yes,No,No,N/A,N/A,Traditional,no,N/A,N/A,2001,68,28.7:1,N/A,N/A,63,5,N/A,22,5,4,7,4,89,
West-Mec - Desert Edge High School,"Goodyear,AZ",85236,1847,yes,yes,no,yes,N/A,Academically adavanced,N/A,50,50,9497,166,17.7:1,N/A,N/A,9,27,4,53,3,4,58,58,N/A,
Imagine East Mesa Middle School,"Mesa,AZ",85208,124,yes,no,yes,yes,NA,traditional,No,37%,42%,523,223,#VALUE!,NA,NA,76,8,2,40,4,3,52,12,NA,
Gilbert Classical Academy Junior,"Glibert,AZ",85234,225,yes,no,yes,yes,NA,Socratic,no,88%,85%,47,11,#VALUE!,NA,low,64,6,0,30,38,6,NA,NA,NA,
Gilbert Christian Schools,"Gilbert,AZ",85296,766,yes,yes,yes,yes,42,traditional,yes,52%,58%,703,8,14:01,NA,NA,85,12,1,48,29,6,NA,NA,NA,
Gilbert Global Academy High School,"Gilbert,AZ",85296,45,yes,yes,yes,no,NA,traditional,no,58%,47%,"10,990",195,#VALUE!,NA,NA,34,2,2,6,1,0,NA,NA,NA,
Gilbert Classical Academy High School,"Gilbert,AZ",85234,292,yes,yes,yes,yes,86,one-to-one integrated technology incorporated with Socratic instruction,NA,92%,92%,47,7,13:01,NA,low,63,6,1,43,53,3,NA,NA,NA,
Vista Peak,"Phoenix, AZ",85027,64,Yes,Yes,No,Yes,N/A,Alternative blended learning environment,Yes,29%,19%,22127,1321,4:01,0,2,64%,16%,2%,15%,0%,3%,52%,5%,52%,
Vista Verde Middle School,"Phoenix, AZ",85032,656,Yes,No,Yes,Yes,N/A,Traditional Learning,No,13%,26%,1251,383,20:01,0,48,4%,32%,3%,56%,2%,2%,52%,9%,39%,
Washington High School,"Phoenix, AZ",85021,1845,Yes,Yes,Yes,Yes,30,Traditional Learning,Yes,21%,26%,3571,56,23:01,2,58,17%,13%,3%,60%,6%,1%,66%,7%,26%,
West Phoenix High School,"Phoenix, AZ",85019,465,Yes,Yes,Yes,Yes,N/A,Comprehensive learning,Yes,8%,17%,12304,1596,37:01:00,2,58,2%,5%,1%,90%,0%,1%,83%,4%,14%,
West-mec - Barry Goldwater High School,"Phoenix, AZ",85031,331,Yes,Yes,Yes,Yes,N/A,comprehensive learning,Yes,50%,35%,Unranked,Unranked,N/A,1,50,39%,9%,N/A,52%,N/A,60.9,0%,0%,100%,
Faith Christian School,"Mesa, AZ",85205,197,Yes,Yes,Yes,Yes,NA,Christian education,NA,600,550,"3,896th out of 7,602",35th out of 74,6.7,NA,NA,64%,3%,0%,16%,16%,1%,N/A,N/A,N/A,
Franklin Junior High School,"Mesa, AZ",85206,261,Yes,Yes,Yes,Yes,NA,Rigorous Academic curriculum,NA,89%,93%,Unranked,5,21:01,NA,NA,67%,1%,0.40%,26%,2%,5%,8%,15%,N/A,
Fremont Junior High School,"Mesa, AZ",85205,1012,no,NA,yes,yes,50%,District Adopted Curriculum,Yes,39%,37%,Unranked,135,19:01,No Suicides,NA,52%,4%,2%,37%,1%,4%,40%,8%,53%,
Heritage Academy,"Mesa, AZ",85210,"1,556",yes,yes,yes,yes,NA,Alternative curriculums,No,46%,61%,"3,302",52,1556:01:00,No Suicides,NA,70.80%,0.50%,0.30%,25.50%,0.60%,2.30%,NA,NA,NA,
Highland Jr High School,"Mesa, AZ",85212,988,NA,yes,yes,yes,NA,Traditional,Yes,52%,55%,Unranked,170,17:!,No Suicides,NA,66.20%,1.60%,0.60%,23.40%,2.10%,6.10%,0%,0%,100%,
Ombudsman - Charter Metro,Phoenix,85051,213,,,,,,,'',,,,,,,,,,,,,,,,,
Ombudsman - Charter Northeast,Phoenix,85032,105,,,,,,,,,,,,,,,,,,,,,,,,
