School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
Girls Leadership Academy Of Arizona ,Phoenix ,85013,120,Yes,Yes,Yes,Yes,N/A,In person classes ,No,15%,20%,13261,237,#VALUE!,N/A,N/A,5%,15%,2%,76%,2%,1%,78%,11%,12%,
Glenview College Preparatory High School,Phoenix ,85020,193,Yes,Yes,Yes,Yes,N/A,In person and virtual classes,No,20%,20%,9164,161,#VALUE!,N/A,N/A,12%,10%,1%,74%,1%,2%,82%,7%,11%,
Gompers Private School,Phoenix ,85017,22,No,N/A,N/A,N/A,N/A,In person and virtual classes,N/A,Cant Find,Cant Find,6647,Cant FInd,#VALUE!,N/A,N/A,27%,23%,5%,45%,0%,0%,N/A,N/A,N/A,
Great Hearts Academies- Archway Veritas,Phoenix ,85018,536,Yes,Yes,Yes,Yes,N/A,In person and virtual classes,Yes,62%,68%,5303,137,#VALUE!,N/A,N/A,77%,1%,0%,10%,4%,7%,N/A,N/A,N/A,
Mountain Trail Middle School,Phoenix ,85024,711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unranked,unknown,24.5:1,N/A,N/A,70%,2%,1%,21%,2%,4%,16%,4%,80%,
New World Educational Center,Phoenix ,85014,189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unranked,unknown,#VALUE!,N/A,N/A,7%,6%,2%,84%,1%,1%,45%,15%,45%,
Nfl Yet College Prep Academy,Phoenix ,85040,290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14935,267,#VALUE!,N/A,N/A,2%,2%,1%,94%,0%,1%,98%,1%,1%,
North Canyon High School,Phoenix ,85024,1894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1907,64,21.9:1,N/A,N/A,35%,5%,2%,52%,3%,3%,39%,6%,56%,
North High School,Phoenix ,85014,2563,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,573,24,19:01,N/A,N/A,6%,6%,2%,82%,1%,2%,80%,6%,14%,
Campo Verde High School,Gilbert,85297,2091,Yes,Yes,N/A,N/A,N/A,N/A,No,N/A,N/A,1997,29,24.7:1,N/A,N/A,73%,4%,1%,15%,5%,2%,0%,0%,100%,
Cenpatico Schools,Gilbert,85233,45,N/A,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,5624,53,7.0:1,N/A,N/A,24%,18%,4%,51%,2%,0%,N/A,N/A,N/A,
Desert Hills High School,Gilbert,85296,195,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,17392,319,#VALUE!,N/A,N/A,37%,11%,17%,31%,0%,4%,49%,6%,46%,
Eduprize School Gilbert,Gilbert,85233,1837,No,Yes,Yes,Yes,N/A,N/A,No,N/A,N/A,2062,72,#VALUE!,N/A,N/A,71%,3%,1%,17%,4%,3%,1%,0%,99%,
Cooley Middle School,Gilbert,85296,959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Unranked,Unknown,25.4:1,N/A,N/A,69%,5%,1%,19%,4%,3%,5%,4%,90%,
E-institute At Buckeye,Buckeye,85361,88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,Unranked,Unknowm,N/A,N/A,N/A,19.30%,4.50%,N/A,75.00%,N/A,N/A,N/A,N/A,N/A,
Odyssey Institute For Advanced And International,Buckeye,85361,1819,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44%,28,Unranked,67,14:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Skyview High School,Buckeye,85326,163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,Unranked,Unknown,N/A,N/A,N/A,21.50%,8%,N/A,62%,N/A,N/A,29,0,N/A,
Verrado High School,Buckeye,85340,1715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,4985,57,21:01,N/A,N/A,45%,5.90%,N/A,43.60%,1.60%,N/A,7%,0%,N/A,
West-mec-Buckeye union high school,Buckeye,85396,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,Unranked,Unknown,N/A,N/A,N/A,20.00%,N/A,N/A,60%,N/A,N/A,N/A,N/A,N/A,
American Leadership Academy - Queen Creek,"Queen Creek, AZ",85142,"1,298",yes,no,yes,yes,na,CTE,yes,60-64%,65-69%,na,na,17:01,na,na,87%,0,0,13%,0,0,39%,0,61%,
Benjamin Franklin High School,"Queen Creek, AZ",85142,862,No,No,Yes,No,N/A,In person and virtual classrooms,No,52%,62%,N/A,N/A,1:01,N/A,N/A,30%,5%,2%,50%,1%,11%,72%,10%,18%,
Canyon State Academy,"Queen Creek, AZ",85142,347,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,17392,319,#VALUE!,N/A,N/A,37%,11%,17%,31%,0%,4%,49%,6%,46%,
Dr. Camille Casteel High School,"Queen Creek, AZ",85142,907,Yes,No,N/A,Yes,N/A,N/A,Yes,N/A,N/A,17392,319,#VALUE!,N/A,N/A,37%,11%,17%,31%,0%,4%,49%,6%,46%,
Queen Creek High School,"Queen Creek, AZ",85142,2025,Yes,Yes,Yes,Yes,12,preparatory curriculum,Yes,85%,87%,NA,12,17:01,NA,NA,80%,3%,0%,13%,3%,1%,18%,11%,71%,
Madison Highland Prep,Phoenix,85014,248,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15985,280,#VALUE!,N/A,N/A,32%,6%,4%,53%,2%,4%,38%,13%,49%,
Maryvale High School,Phoenix,85033,2991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,273,14,21.5:1,N/A,N/A,3%,4%,1%,92%,0%,0%,80%,6%,14%,
Metro Tech High School,Phoenix,85015,1716,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2497,89,14.3:1,N/A,N/A,2%,1%,0%,96%,0%,0%,85%,8%,7%,
Metrocenter Academy,Phoenix,85051,162,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18313,337,13.5:1,N/A,N/A,26%,9%,5%,57%,1%,3%,9%,2%,89%,
Metropolitan Arts Institute,Phoenix,85007,254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15846,277,#VALUE!,N/A,N/A,52%,5%,0%,36%,1%,6%,N/A,N/A,N/A,
Sequoia School For The Deaf And Hard Of Hearing,Mesa,85204,64,N/A,N/A,N/A,N/A,N/A,Bilingual/biculture,Yes,5%,15%,21990,455,#VALUE!,N/A,N/A,41%,8%,9%,34%,5%,3%,58%,9%,33%,
Sequoia Secondary School,Mesa,85204,400,Yes,N/A,N/A,Yes,N/A,Small group instruction,Yes,17%,N/A,12610,230,#VALUE!,N/A,N/A,34%,10%,1%,53%,1%,1%,82%,8%,32%,
Shepherd Junior High School,Mesa,85204,640,N/A,Yes,N/A,Yes,N/A,Classical Education,Yes,8%,12%,Unranked,Unknown,18:01,N/A,N/A,65%,4%,3%,23%,2%,3%,34%,11%,56%,
Skyline High School,Mesa,85204,2619,Yes,N/A,N/A,Yes,N/A,tiered system of support and blended learning modalities,Yes,50%,50%,522,22,21.2:1,N/A,N/A,54%,4%,2%,37%,2%,1%,45%,9%,45%,
Smith Junior High School,Mesa,85204,963,N/A,No,N/A,Yes,N/A,A system of actions intended to induce learning,Yes,50%,N/A,Unranked,Unknown,18:08:01,N/A,N/A,60%,4%,1%,32%,1%,2%,48%,11%,41%,
Gateway Academy,Scottsdale,85258,57,no,no,Yes,no,N/A,Autism Helpful,No,N/A,N/A,N/A,N/A,4:01,N/A,N/A,75,5,0,7,4,4,0,0,100,
Horizon High School,Scottsdale,85254,2242,Yes,Yes,Yes,Yes,28th in az,College Prep,Yes,39%,40%,1012,36,26:01:00,1,N/A,77,2,1,12,4,4,6,1,93,
Great Hearts Academies - Cicero Prep,Scottsdale,85258,503,Yes,Yes,Yes,yes,N/A,Charter School/College prep ,Yes,50%,66%,N/A,N/A,N/A,N/A,N/A,71,2,0,15,8,4,0,0,100,
Great Hearts Academies - Scottsdale Prep,Scottsdale,85260,886,Yes,Yes,Yes,Yes,N/A,Charter School/College prep ,Yes,69%,73%,6722,139,N/A,N/A,N/A,77,1,0,8,9,4,0,0,100,
Saguaro High School,Scottsdale,85250,1292,Yes,Yes,Yes,Yes,27th in the nation,College Prep,Yes,37%,41%,"4,318",114,21.1:1,1,N/A,68,4,3,19,5,1,18,3,78,
Tempe preparatory academy,Tempe,85283,243,Yes,No,Yes,Yes,N/A,Academically advanced,Yes,73%,,1377,22,N/A,N/A,N/A,57.50%,2.20%,0.90%,26.40%,7.60%,5.40%,1%,1%,98%,
The Aces-Tempe,Tempe,85281,125,No,No,No,No,N/A,Academically advanced,No,N/A,N/A,3704,31,9:01,N/A,N/A,20%,8%,4%,16%,4%,48%,N/A,N/A,N/A,
The early career academy,Tempe,85248,22,No,No,No,No,N/A,Academically advanced,No,N/A,N/A,"24,174",514,N/A,N/A,N/A,41%,14%,5%,23%,0%,17%,N/A,N/A,N/A,
Valley preparatory academy,Tempe,85282,30,No,No,No,No,N/A,Arts and Environment advanced,Yes,N/A,N/A,23688,501,N/A,N/A,N/A,40%,10%,0%,17%,0%,33%,80%,0%,20%,
Sierra Linda High School,Tolleson,85353,"1,896",Yes,No,Yes,Yes,13854,All round advanced,Yes,10%,N/A,"1,898",62,22.26:1,N/A,N/A,4%,9%,0%,84%,0%,3%,59%,8%,33%,
Grand Canyon College Preparatory Charter School,Tempe,85283,Closed,,,,,,,,,,,,,,,,,,,,,,,,
Humanities and Sciences Academy Arizona,Tempe,85282,31,Yes,Yes,Yes,No,N/A,Online,Yes,N/A,N/A,"23,625",499,31:01:00,N/A,N/A,6,16,6,68,0,4,N/A,N/A,N/A,
Humanities and Science High School - Tempe,Tempe,85282,10,Yes,Yes,Yes,No,N/A,In person and virtual classes,Yes,N/A,N/A,"25,082",560,#VALUE!,N/A,N/A,10,20,0,60,10,0,N/A,N/A,N/A,
Integrity Education Centre,Tempe,85281,52,Yes,Yes,Yes,N/A,N/A,Traditional,N/A,30,30,"22,533",473,22:01,N/A,N/A,62,8,4,21,0,5,19,6,75,
International Commerce High School - Tempe,Tempe,85282,199,Yes,Yes,N/A,N/A,N/A,Alternative /Charter ,N/A,20,39,"17,274",314,N/A,N/A,N/A,20,11,7,58,1,3,N/A,N/A,N/A,
Wickenburg Virtual Academy,Wickenburg,85390,Closed,,,,,,,,,,,,,,,,,,,,,,,,
Az Compass Prep School,"Chandler, AZ",85225,248,,,yes,yes,N/A,Traditional,,12%,12%,"18,895",352,#VALUE!,NA,NA,12%,24%,32%,26%,2%,4%,10%,87%,2%,
Arizona College Prep,"Chandler, AZ",85224,"1,225",Yes,Yes,yes,yes,N/A,Traditional,yes,91%,83%,"9,474",181,22:01,NA,NA,43%,4%,1%,15%,30%,7%,8%,2%,90%,
Basha High School,"Chandler, AZ",85249,2460,yes,yes,yes,yes,22,Traditional,Yes,61,61,65,,20:01,NA,NA,65,4,5,16,9,1,3,3,96,
Basis Chandler,"Chandler, AZ",85225,717,yes,yes,no,yes,N/A,Traditional,Yes,90,81,30,6,1:01,N/A,N/A,22%,8%,1%,3,71,2,N/A,N/A,N/A,
Foothills Academy,"Scottsdale, AZ",85266,321,Yes,No,Yes,Yes,NA,"multiage integrated classes STEAM(SCi, Tech, Engg, Art, Math)",No,53%,61%,"14,236",258,0.0:1,N/A,N/a,86%,1%,0%,6%,4%,3%,0%,1%,99%,
Foothills Academy Connected,"Scottsdale, AZ",85266,13,Yes,Yes,No,No,NA,"multiage integrated classes STEAM(SCi, Tech, Engg, Art, Math)",No,33%,46%,"24,822",547, -1:1,N/A,N/a,13%,0%,0%,0%,0%,0%,N/A,N/A,N/A,
Gateway Academy,"Scottsdale, AZ",85258,57,No,No,Yes,No,N/a,"Hands-on learning, High Functioning Autism",No,N/a,N/a,"5,234",48,4:01,N/A,N/a,75%,5%,0%,7%,4%,9%,N/A,N/A,N/A,
"Great Hearts Academies - Cicero Scottsdale
","scottsdale, AZ",85260,303,Yes,Yes,Yes,Yes,N/a,"Traditional, Liberal Arts Tradition, Special education for Disabled",Yes,50%,66%,Unranked,Unknown,#VALUE!,N/A,N/a,71%,2%,0%,15%,8%,4%,N/A,N/A,N/A,
"Great Hearts Academies - Scottsdale
","scottsdale, AZ",85260,886,Yes,Yes,Yes,Yes,N/a,"Traditional, Liberal Arts Tradition",Yes,69%,73%,6722,139,#VALUE!,N/A,N/a,77%,1%,0%,8%,9%,4%,N/A,N/A,N/A,
Boulder Creek High School,"Anthem, AZ",85086,"2,576",yes,yes,yes,yes,ranked #14 in the Arizona High School Football Rankings by MaxPreps.com,traditional teaching style,yes,45%,41.67,"2,843",45,21:01,N/A,N/A,82,2,0,11,2,3,10,3,87,
Great Hearts Academies - Anthem Prep,"Anthem, AZ",85086,769,yes,no,yes,yes,N/A,liberal arts,yes,60%,N/A,N/A,N/A,15:01,N/A,N/A,80,1,0,8,7,3,N/A,N/A,N/A,
West-Mec - Boulder Creek High School,"Anthem, AZ",85086,4,yes,yes,yes,yes,N/A,Academically Advanced,yes,50%,N/A,N/A,N/A,18:01,N/A,N/A,25,0,0,75,0,0,N/A,N/A,N/A,
Agua Fria High School,"Avondale, AZ",85323,"1,736",yes,yes,yes,yes,ranked #11 in the Arizona High School Football Rankings by MaxPreps.com,Sports,yes,40%,44.8,"1,495",11,24:01:00,N/A,N/A,20,11,1,65,2,2,21,4,75,
Arizona Agribusiness & Equine Center - Estrella,"Avondale, AZ",85007,480,no,yes,yes,yes,N/A,career and technical,yes,35%,N/A,N/A,N/A,17:01,N/A,N/A,50,7,1,36,4,1,24,16,60,
West-mec - Deer Valley High School,"Glendale, AZ",85308,1,Y,Y,Y,Y,N/A,CTE,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
West-mec - Glendale High School,"Glendale, AZ",85301,5,Y,Y,Y,Y,N/A,CTE,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0,0,0,0,0,0,0,100,
West-mec - Independence High School,"Glendale, AZ",85303,2,Y,Y,Y,Y,N/A,CTE,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
West-mec - Ironwood High School,"Glendale, AZ",85304,4,Y,Y,Y,Y,N/A,CTE,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75,0,0,25,0,0,0,0,100,
West-mec - Mountain Ridge High School,"Glendale, AZ",85310,1,Y,Y,Y,Y,N/A,CTE,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,100,0,0,100,
 Central High School,"Phoenix, AZ",85012,"1,970",Yes,Yes,Yes,Yes,N/A,CTE,Yes,4,4,847,10,16.4,N/A,N/A,7.4,16.8,6.5,72.77,2.3,2.9,86,4,10,
Children First Academy,"Phoenix, AZ",85003,245,N/A,N/A,N/A,N/A,N/A,CTE,N/A,N/A,N/A,N/A,N/A,#VALUE!,N/A,N/A,8,22,N/A,56,1,13,84,0,16,
Cornerstone Charter School,"Phoenix, AZ",85021,138,Yes,Yes,Yes,N/A,N/A,Core Knowledge,Yes,20,20,"19,081",356,#VALUE!,N/A,N/A,22,8,N/A,57,0,13,98,0,2,
Cortez High School,"Phoenix, AZ",85051,245,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,#VALUE!,N/A,N/A,21,11,5,56,6,1,69,23,9,
Crestview College Preparatory High School,"Phoenix, AZ",85032,250,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"15,937",279,#VALUE!,N/A,N/A,15,4,2,74,0,5,82,8,10,
Thunderbird High School,"Phoenix, AZ",85023,1531,Yes,Yes,Yes,Yes,N/A,Career and Technical Education (CTE),Yes,76%,79%,3218,101,22.4:1,N/A,N/A,51%,7%,3%,36%,3%,1%,44%,5%,51%,
Trevor Browne High School,"Phoenix, AZ",85033,3041,Yes,Yes,Yes,Yes,194 in Arizona High Schools,N/A,Yes,73%,78%,248,13,20.8:1,N/A,N/A,3%,4%,1%,91%,1%,1%,81%,8%,11%,
Tumbleweed Transitional Learning Center,"Phoenix, AZ",85013,61,No,No,Yes,No,N/A,N/A,Yes,N/A,N/A,22127,462,30.5:1,N/A,N/A,2%,11%,0%,87%,0%,0%,95%,0%,5%,
Valley Lutheran High School,"Phoenix, AZ",85013,164,Yes,Yes,Yes,Yes,9th in the Arizona Interscholastic Association (AIA) 2A Verde division,Youth development,Yes,80%,82%,3283,27,9:01,N/A,N/A,54%,9%,4%,16%,11%,5%,N/A,N/A,N/A,
Victory High School - Campus,"Phoenix, AZ",85041,22,Yes,Yes,Yes,Yes,12th in the Arizona Interscholastic Association (AIA) 5A Desert Sky division,N/A,Yes,75%,78%,24174,514,#VALUE!,N/A,N/A,0%,9%,0%,82%,9%,0%,86%,0%,14%,
Redeemer Christian School,Mesa,85203,23,Yes,Yes,Yes,Yes,N/A,Academically Advanced,Yes,82%,84%,N/A,123,10:01,No data,No data,64%,0%,0%,13%,21%,0%,20%,15%,65%,
Rhodes Junior High School,Mesa,85202,953,Yes,Yes,Yes,Yes,N/A,Traditional Teaching style,Yes,75%,78%,N/A,125,19.6:1,No data,No data,26%,6%,1%,58%,2%,2%,68%,8%,24%,
Sequoia Choice School Arizona Distance Learning School,Mesa,85204,329,Yes,Yes,Yes,Yes,N/A,Academically Advanced,Yes,85%,80%,N/A,100,#VALUE!,No data,No data,70%,3%,5%,15%,2%,0%,30%,2%,68%,
Sequoia School for the Deaf and Hard of Hearing,Mesa,85204,24,Yes,Yes,Yes,Yes,Not found,Not found,Yes,Not found,Not found,Not found,Not found,#VALUE!,Not found,Not found,41%,8%,Not found,34%,5%,Not found,58%,9%,33%,
Sequoia Secondary School,Mesa,85204,250,Yes,Yes,Yes,Yes,Not found,Not found,Yes,Not found,Not found,Not found,Not found,#VALUE!,Not found,Not found,34%,10%,Not found,53%,1%,Not found,82%,8%,10%,
James Madison Preparatory School,"Tempe, AZ",85283,177,Yes,Yes,Yes,Yes,N/A,CTE,Yes,N/A,45%,"17,914",331,#VALUE!,No data,N/A,72%,3%,2%,15%,3%,5%,N/A,N/A,N/A,
Marcos De Niza High School,"Tempe, AZ",85283,"1,507",Yes,Yes,Yes,N/A,N/A,CTE,Yes,39%,60%,"3,319",103,19:01,No data,N/A,27%,10%,11%,47%,3%,3%,2%,0%,98%,
Mcclintock High School,"Tempe, AZ",85282,"1,847",Yes,No,No,N/A,N/A,Core Knowledge,Yes,50%,50%,"2,038",71,22:01,No data,N/A,33%,10%,5%,43%,4%,5%,1%,0%,99%,
New School For The Arts,"Tempe, AZ",85281,196,Yes,Yes,Yes,Yes,N/A,N/A,Yes,69%,40%,"17,363",317,#VALUE!,No data,N/A,63%,10%,3%,18%,2%,3%,2%,2%,97%,
Pinnacle Charter High School,"Tempe, AZ",85283,43,Yes,Yes,Yes,Yes,N/A,N/A,Yes,37%,35%,"22,979",483,#VALUE!,No data,N/A,30%,9%,7%,51%,0%,2%,N/A,N/A,N/A,
Tonopah Valley High School,"Tonopah,Az",85354,801,Yes,Yes,Yes,Yes,N/A,Academic Oriented,Yes,55%,56%,#10.279,#181,27.61,None,None,37.30%,3.60%,0.40%,55.20%,0.20%,2.80%,19%,0%,81%,
Shadow Ridge High School,"Wikenburg,Az",85390,2366,yes,Yes,Yes,Yes,N/A,Academic Oriented,Yes,28%,24%,#4574,#126,22:01,None,None,58.50%,4.60%,0.40%,27.80%,2.10%,6.50%,7%,0%,93%,
Wickenburg Christian Academy,"Wikenburg,Az",85390,139,Yes,Yes,Yes,Yes,N/A,Academic Oriented,No,N/A,N/A,#3763,unranked,9:01,None,None,88%,0%,1%,10%,1%,1%,NA,NA,NA,
West-Mec_Wickenburg High School,"Wikenburg,Az",85390,18,Yes,Yes,Yes,Yes,N/A,Academic Oriented,Yes,30%,30%,unranked,unranked,#VALUE!,None,None,83.30%,0%,0%,11.10%,5.60%,0%,25%,0%,75%,
Wickenburg High school,"Wikenburg,Az",85390,484,Yes,Yes,Yes,Yes,N/A,Academic Oriented,No,25-29%,30-34%,"#13,261",237-317,19:01,None,None,53.40%,2.40%,1.00%,42%,0.20%,0%,16%,11%,73%,
Paradise Valley Christian Preparatory,"Phoenix, AZ",85028,593,yes,yes,yes,Yes,N/A,Sports,Yes,N/A,N/A,Unranked,#2,23:01,None,None,87%,4%,0%,6%,3%,1%,13%,0%,87%,
Paradise Valley High School,"Phoenix, AZ",85032,1865,yes,yes,yes,Yes,N/A,Academic oriented,Yes,60%,70%,#4226,625,18:01,None,None,43%,4%,1%,45%,3%,4%,45%,5%,50%,
Phoenix Christian Preparatory School,"Phoenix, AZ",85015,435,yes,yes,yes,yes,N/A,Academic oriented,No,43%,65%,1439,15,15:01,None,None,30%,31%,0%,33%,6%,0%,35%,0%,75%,
Phoenix College Preparatory School,"Phoenix, AZ",85013,212,Yes,yes,Yes,yes,N/A,Academically advanced,yes,44%,58%,5864,51,24:01:00,None,None,12%,10%,2%,76%,0%,1%,22%,6%,71%,
Phoenix Collegiate Academy Charter School,"Phoenix, AZ",85040,392,yes,yes,yes,yes,N/A,Not found,No,Not found,Not found,9551,309,25:01:00,None,None,2%,8%,1%,89%,0%,1%,N/A,N/A,N/A,
Shepherd Junior High School,Mesa,85205,640,N/A,Yes,Yes,Yes,N/A,Classical Education,Yes,8%,12%,Unranked,Unranked,18:01,N/A,N/A,65,4,3,23,2,2,34,11,56,
Skyline High School,Mesa,85208,"2,619",Yes,N/A,N/A,Yes,N/A,"Academics, Arts and Athletics",yes,50,50,522,22,21:02:01,N/A,N/A,54,4,2,37,2,2,45,9,45,
Smith Junior High School,Mesa,85207,983,N/A,No,N/A,Yes,N/A,Inclass,Yes,50,N/A,Unranked,unknown,18:08:01,N/A,N/A,60,4,1,32,1,2,48,11,41,
Soronan Desert School,Mesa,85205,37,Yes,No,N/A,Yes,N/A,Traditional,N/A,45,36,23294,490,#VALUE!,N/A,N/A,84,3,3,11,0,0,16,8,76,
Stapley Junior High School,Mesa,85213,956,Yes,Yes,Yes,Yes,N/A,Traditional,N/A,5,15,Unranked,Unknown,20:03:01,N/A,N/A,70,1,8,18,2,9,25,6,69,
Gateway Early College High School,Phoenix,85034,309,Yes ,Yes ,Yes,Yes,N/A,High School Diploma,Yes,14%,12%,8646,155,1:01,N/A,N/A,1.60%,13.60%,6%,82.80%,0.30%,0.30%,80%,13%,No,
Franklin Police and Fire High School,Phoenix,85007,287,Yes ,Yes ,Yes,No,N/A,Public Safety Professional,N/A,11-19%,12-20%,4136,65,10.4:1,N/A,N/A,3.10%,0.70%,1.70%,93.40%,1.00%,0%,73%,16%,N/A,
Great Hearts Academies - Archway Veritas ,Phoenix,85018,718,No,No,Yes,Yes,N/A,Elementary School,N/A,72%,71%,N/A,N/A,N/A,N/A,N/A,67.40%,2.10%,0.30%,17.00%,4.70%,6.80%,N/A,N/A,N/A,
Great Hearts Academies - North Phoenix Prep,Phoenix,85032,243,No,Yes ,No,No,N/A,hands-off approach,Yes,67%,72%,4142,64,N/A,N/A,N/A,57.90%,3.10%,0.60%,21.60%,11.70%,4.90%,N/A,N/A,N/A,
Great Hearts Academies - Teleos Prep,Phoenix,85034,250,No,No,Yes,No,N/A,Inclusion Based Model,N/A,67%,N/A,6297,107,1:01,N/A,N/A,54.00%,5.60%,0.70%,25.10%,7.10%,6.70%,N/A,N/A,N/A,
Mesa High School,Mesa,85204,3480,Yes,yes,yes,yes,"7,961",outcome based,yes,50%,42%,7961,139,22.3:1,No Suicide,No Crime,29%,4%,2%,62%,1%,2%,58%,10%,10%,
Mesa Transitional Learning Center,Mesa,85210,70,Yes,No,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47%,20%,NA,26%,3%,4%,96%,4%,0%,
Mountain View High School,Mesa,85213,3343,Yes,Yes,Yes,Yes,30,traditional,yes,37%,37%,3795,100,16.4:1,1,low crime rate,66%,3%,4%,24%,2%,1%,27%,6%,67%,
Poston Junior High School,Messa,85213,1017,Yes,No,Yes,No,Unranked,NA,No,24,33,Unranked,Unranked,18,NA,NA,43,5,3,47,1,1,58,35,7,
Red Mountain High School,Messa,85207,3370,Yes,Yes,Yes,Yes,Unranked,NA,Yes,47%,77.67%,129,4,N/A,NA,NA,70,3,2,20,2,3,24,7,69,
Mountain Ridge High School,Glendale,85310,2685,yes,yes,yes,yes,NA,Tradional,yes,51,55,2046,28,25.4:1,NA,NA,69,2,1,13,10,5,4,0,96,
Ombudsman - Charter West,Glendale,85308,90,yes,yes,yes,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA,NA,43,17,3,32,2,3,16,2,82,
Raymond S. Kellis,Glendale,85305,1802,yes,yes,yes,yes,NA,Tradional,yes,48,43,7392,126,21.1:1,NA,NA,24,8,1,57,5,5,20,0,80,
Sandra Day O'Connor High School,Glendale,85310,2534,yes,yes,yes,yes,NA,Tradional,yes,70,69,2622,41,23.1:1,NA,NA,74,2,1,14,5,4,5,0,95,
Sunflower School,Glendale,85306,40,yes,yes,Yes,yes,NA,Tradional,yes,25,25,NA,NA,6.7:1,NA,NA,35,7.5,0,42.5,7.5,7.5,45,7.5,47.5,
Deer Valley Academy,Glendale,85308,"1,568",YES,YES,YES,YES,114,Hybrid,YES,36%,39%,Unranked,250,No Data,No data,No data,33.30%,16.70%,1.20%,50.00%,2.60%,33.30%,No Data,No data,No Data,
Deer Valley High School,Glendale,85308,"1,420",YES,YES,YES,YES,43,Traditional,YES,58%,51%,6336,109,10-Jan,No data,No data,55.20%,5.90%,1.20%,30.50%,2.60%,49.50%,17%,0%,83%,
Desert Heights Preparatory Academy,Glendale,85308,511,YES,YES,YES,YES,26,Hybrid,YES,43%,40%,Unranked,398,No data,No data,No data,56.20%,7.20%,1.40%,29.00%,1.40%,50.1,21%,3%,76%,
Desert Sky Middle School,Glendale,85308,761,NO,YES,NO,YES,No Data,Traditional,YES,42%,42%,Unranked,289,22-Jan,No data,No data,54.30%,4.30%,0.60%,33.50%,1.90%,51.1,39%,12%,49,
E-Institute at Grovers,Glendale,85308,9,YES,YES,YES,YES,No Data,Hybrid,No Data,30%,30%,Unranked,371,12-Jan,No data,No data,22.20%,N/A,N/A,77.80%,N/A,77.80%,N/A,N/A,N/A,
